"Segment Name","Size (MB)","Segment Type","Number of Rows"
"RECYCLEBIN$_OBJ","0.1","INDEX","-"
"REPCAT$_FLAVORS","0.1","TABLE","0"
"REPCAT$_REPPROP","0.1","TABLE","0"
"RULE_SET_IEUAC$","0.1","TABLE","1"
"SCHEDULER$_STEP","0.1","TABLE","0"
"WRR$_REPLAYS_PK","0.1","INDEX","-"
"XSTREAM$_SERVER","0.1","TABLE","0"
"APPLY$_ERROR_TXN","0.1","TABLE","0"
"AQ$_AQ$_MEM_MC_L","0.1","TABLE","0"
"AQ$_AQ$_MEM_MC_S","0.1","TABLE","3"
"AQ$_QUEUES_CHECK","0.1","INDEX","-"
"AQ$_QUEUE_TABLES","0.1","TABLE","11"
"CDC_CHANGE_SETS$","0.1","TABLE","1"
"CDC_SUBSCRIBERS$","0.1","TABLE","0"
"DEF$_CALLDEST_N2","0.1","INDEX","-"
"DEF$_DEFAULTDEST","0.1","TABLE","0"
"DEF$_DESTINATION","0.1","TABLE","0"
"DEF$_LOB_PRIMARY","0.1","INDEX","-"
"FGR$_FILE_GROUPS","0.1","TABLE","0"
"HS$_BASE_CAPS_PK","0.1","INDEX","-"
"HS$_CLASS_DD_UK1","0.1","INDEX","-"
"HS$_FDS_CLASS_PK","0.1","INDEX","-"
"HS$_FDS_INST_UK1","0.1","INDEX","-"
"HS$_INST_CAPS_PK","0.1","INDEX","-"
"HS$_INST_INIT_PK","0.1","INDEX","-"
"I1_CHNF$_CLAUSES","0.1","INDEX","-"
"I1_CHNF$_QUERIES","0.1","INDEX","-"
"I1_JIREFRESHSQL$","0.1","INDEX","-"
"I2_CHNF$_CLAUSES","0.1","INDEX","-"
"I2_CHNF$_QUERIES","0.1","INDEX","-"
"I2_JIREFRESHSQL$","0.1","INDEX","-"
"INSERT_TSN_LIST$","0.1","TABLE","0"
"I_DEFSUBPARTLOB$","0.1","INDEX","-"
"I_DIMLEVELKEY$_1","0.1","INDEX","-"
"I_DIMLEVELKEY$_2","0.1","INDEX","-"
"I_EXTERNAL_TAB1$","0.1","INDEX","-"
"I_OLAP_AW_VIEWS$","0.1","INDEX","-"
"I_OLAP_MAPPINGS$","0.1","INDEX","-"
"I_OLAP_TAB_HIER$","0.1","INDEX","-"
"I_PENDING_TRANS1","0.1","INDEX","-"
"I_PROCEDUREJAVA$","0.1","INDEX","-"
"I_RULE_SET_RDEP1","0.1","INDEX","-"
"I_RULE_SET_RDEP2","0.1","INDEX","-"
"I_SCHEDULER_JOB1","0.1","INDEX","-"
"I_SCHEDULER_JOB2","0.1","INDEX","-"
"I_SCHEDULER_JOB3","0.1","INDEX","-"
"I_SCHEDULER_JOB4","0.1","INDEX","-"
"I_STREAMS_RULES1","0.1","INDEX","-"
"I_STREAMS_RULES2","0.1","INDEX","-"
"I_TYPEHIERARCHY1","0.1","INDEX","-"
"LOGMNRG_ATTRCOL$","0.1","TABLE","0"
"LOGMNRG_COLTYPE$","0.1","TABLE","0"
"LOGMNRG_INDPART$","0.1","TABLE","0"
"LOGMNRG_LOBFRAG$","0.1","TABLE","0"
"LOGMNRG_OPQTYPE$","0.1","TABLE","0"
"LOGMNRG_PARTOBJ$","0.1","TABLE","0"
"LOGMNRG_TABPART$","0.1","TABLE","0"
"MAP_FILE_EXTENT$","0.1","TABLE","0"
"MVIEW$_ADV_GC_PK","0.1","INDEX","-"
"MVIEW$_ADV_LEVEL","0.1","TABLE","0"
"OLAP_ATTRIBUTES$","0.1","TABLE","0"
"OLAP_DIM_LEVELS$","0.1","TABLE","0"
"PROXY_ROLE_DATA$","0.1","TABLE","0"
"PROXY_ROLE_INFO$","0.1","TABLE","0"
"REDEF_DEP_ERROR$","0.1","TABLE","0"
"REGISTRY$HISTORY","0.1","TABLE","0"
"REGISTRY$SCHEMAS","0.1","TABLE","9"
"REPCAT$_CONFLICT","0.1","TABLE","0"
"REPCAT$_PRIORITY","0.1","TABLE","0"
"SCHEDULER$_CHAIN","0.1","TABLE","0"
"SCHEDULER$_CLASS","0.1","TABLE","13"
"SCHEDULER$_FW_PK","0.1","INDEX","-"
"SNAP_LOADERTIME$","0.1","TABLE","0"
"TRANSFORMATIONS$","0.1","TABLE","3"
"USER_ASTATUS_MAP","0.1","TABLE","9"
"WRR$_CAPTURES_PK","0.1","INDEX","-"
"APPLY$_SOURCE_OBJ","0.1","TABLE","0"
"AQ$_MESSAGE_TYPES","0.1","TABLE","0"
"CDC_PROPAGATIONS$","0.1","TABLE","0"
"CHNF$_QUERY_BINDS","0.1","TABLE","0"
"CHNF$_REG_QUERIES","0.1","TABLE","0"
"DAM_CLEANUP_JOBS$","0.1","TABLE","0"
"DAM_CONFIG_PARAM$","0.1","TABLE","10"
"DAM_LAST_ARCH_TS$","0.1","TABLE","0"
"DST$TRIGGER_TABLE","0.1","TABLE","0"
"HS$_CLASS_CAPS_PK","0.1","INDEX","-"
"HS$_CLASS_INIT_PK","0.1","INDEX","-"
"HS$_FDS_CLASS_UK1","0.1","INDEX","-"
"HS$_INST_CAPS_UK1","0.1","INDEX","-"
"HS$_INST_INIT_UK1","0.1","INDEX","-"
"I_APPLY_DEST_OBJ1","0.1","INDEX","-"
"I_APPLY_DEST_OBJ2","0.1","INDEX","-"
"I_APPLY_DEST_OBJ3","0.1","INDEX","-"
"I_CHNFDIRECTLOAD$","0.1","INDEX","-"
"I_FIXED_OBJ$_OBJ#","0.1","INDEX","-"
"I_INDPART_BOPART$","0.1","INDEX","-"
"I_INDSUBPART_OBJ$","0.1","INDEX","-"
"I_IND_STATS$_OBJ#","0.1","INDEX","-"
"I_SCHEDULER_STEP1","0.1","INDEX","-"
"I_SCHEDULER_STEP2","0.1","INDEX","-"
"I_TABPART_BOPART$","0.1","INDEX","-"
"I_TAB_STATS$_OBJ#","0.1","INDEX","-"
"I_XSTREAM_SERVER1","0.1","INDEX","-"
"I_XSTREAM_SERVER2","0.1","INDEX","-"
"LOGMNR_PARAMETER$","0.1","TABLE","0"
"LOGMNR_SESSION_PK","0.1","INDEX","-"
"MVIEW$_ADV_AJG_PK","0.1","INDEX","-"
"MVIEW$_ADV_CLIQUE","0.1","TABLE","0"
"MVIEW$_ADV_FILTER","0.1","TABLE","0"
"MVIEW$_ADV_FJG_PK","0.1","INDEX","-"
"MVIEW$_ADV_LOG_PK","0.1","INDEX","-"
"MVIEW$_ADV_OUTPUT","0.1","TABLE","0"
"MVIEW$_ADV_PRETTY","0.1","TABLE","0"
"MVIEW$_ADV_ROLLUP","0.1","TABLE","0"
"OLAP_HIERARCHIES$","0.1","TABLE","0"
"OLAP_HIER_LEVELS$","0.1","TABLE","0"
"PENDING_SESSIONS$","0.1","TABLE","0"
"RECYCLEBIN$_OWNER","0.1","INDEX","-"
"REGISTRY$DATABASE","0.1","TABLE","1"
"REGISTRY$PROGRESS","0.1","TABLE","0"
"REPCAT$_DDL_INDEX","0.1","INDEX","-"
"REPCAT$_EXTENSION","0.1","TABLE","0"
"REPCAT$_GENERATED","0.1","TABLE","0"
"REPCAT$_REPCATLOG","0.1","TABLE","0"
"REPCAT$_REPCOLUMN","0.1","TABLE","0"
"REPCAT$_REPOBJECT","0.1","TABLE","0"
"REPCAT$_REPSCHEMA","0.1","TABLE","0"
"REPCAT$_SITES_NEW","0.1","TABLE","0"
"REPCAT$_SNAPGROUP","0.1","TABLE","0"
"SCHEDULER$_JOB_PK","0.1","INDEX","-"
"SCHEDULER$_RDB_PK","0.1","INDEX","-"
"SCHEDULER$_RJS_PK","0.1","INDEX","-"
"SCHEDULER$_WINDOW","0.1","TABLE","9"
"STREAMS$_DEF_PROC","0.1","TABLE","0"
"SYS_IOT_TOP_12464","0.1","INDEX","-"
"SYS_IOT_TOP_12466","0.1","INDEX","-"
"SYS_IOT_TOP_12469","0.1","INDEX","-"
"SYS_IOT_TOP_12472","0.1","INDEX","-"
"SYS_IOT_TOP_12499","0.1","INDEX","-"
"SYS_IOT_TOP_12501","0.1","INDEX","-"
"SYS_IOT_TOP_12504","0.1","INDEX","-"
"SYS_IOT_TOP_12507","0.1","INDEX","-"
"SYS_IOT_TOP_12529","0.1","INDEX","-"
"SYS_IOT_TOP_12531","0.1","INDEX","-"
"SYS_IOT_TOP_12534","0.1","INDEX","-"
"SYS_IOT_TOP_12537","0.1","INDEX","-"
"SYS_IOT_TOP_12759","0.1","INDEX","-"
"SYS_IOT_TOP_12761","0.1","INDEX","-"
"SYS_IOT_TOP_12764","0.1","INDEX","-"
"SYS_IOT_TOP_12767","0.1","INDEX","-"
"SYS_IOT_TOP_12795","0.1","INDEX","-"
"SYS_IOT_TOP_12797","0.1","INDEX","-"
"SYS_IOT_TOP_12800","0.1","INDEX","-"
"SYS_IOT_TOP_12803","0.1","INDEX","-"
"SYS_IOT_TOP_12974","0.1","INDEX","-"
"SYS_IOT_TOP_12976","0.1","INDEX","-"
"SYS_IOT_TOP_12979","0.1","INDEX","-"
"SYS_IOT_TOP_12982","0.1","INDEX","-"
"UTL_RECOMP_ERRORS","0.1","TABLE","0"
"UTL_RECOMP_SORTED","0.1","TABLE","0"
"WRI$_SQLMON_USAGE","0.1","TABLE","1"
"AQ$_QUEUES_PRIMARY","0.1","INDEX","-"
"CDC_CHANGE_TABLES$","0.1","TABLE","0"
"CHNF$_QUERY_OBJECT","0.1","TABLE","0"
"DEF$_ERROR_PRIMARY","0.1","INDEX","-"
"EXTERNAL_LOCATION$","0.1","TABLE","0"
"HS$_CLASS_CAPS_UK1","0.1","INDEX","-"
"HS$_CLASS_INIT_UK1","0.1","INDEX","-"
"HS$_FDS_CLASS_DATE","0.1","TABLE","1"
"I_CDC_CHANGE_SETS$","0.1","INDEX","-"
"I_CDC_SUBSCRIBERS$","0.1","INDEX","-"
"I_FGR$_TABLE_INFO1","0.1","INDEX","-"
"I_FGR$_TABLE_INFO2","0.1","INDEX","-"
"I_FGR$_TABLE_INFO3","0.1","INDEX","-"
"I_OLAP_ATTRIBUTES$","0.1","INDEX","-"
"I_OLAP_DIM_LEVELS$","0.1","INDEX","-"
"I_REDEF_DEP_ERROR$","0.1","INDEX","-"
"I_SNAP_LOADERTIME1","0.1","INDEX","-"
"I_STREAMS_PREPARE1","0.1","INDEX","-"
"I_TABSUBPART$_OBJ$","0.1","INDEX","-"
"LOGMNRG_ATTRIBUTE$","0.1","TABLE","0"
"LOGMNR_BUILDLOG_PK","0.1","INDEX","-"
"LOGMNR_SESSION_UK1","0.1","INDEX","-"
"MVIEW$_ADV_INFO_PK","0.1","INDEX","-"
"MVIEW$_ADV_JOURNAL","0.1","TABLE","0"
"OLAP_DESCRIPTIONS$","0.1","TABLE","0"
"OLAP_IMPL_OPTIONS$","0.1","TABLE","0"
"REGISTRY_SCHEMA_PK","0.1","INDEX","-"
"REPCAT$_EXCEPTIONS","0.1","TABLE","0"
"REPCAT$_RESOLUTION","0.1","TABLE","0"
"RESOURCE_CATEGORY$","0.1","TABLE","5"
"SCHEDULER$_DEST_PK","0.1","INDEX","-"
"SCHEDULER$_FWQ_ANT","0.1","NESTED TABLE","-"
"SCHEDULER$_LOBJ_PK","0.1","INDEX","-"
"SCHEDULER$_LOBJ_UK","0.1","INDEX","-"
"SCHEDULER$_PROGRAM","0.1","TABLE","19"
"SCHEDULER$_RDBI_PK","0.1","INDEX","-"
"SCHEDULER$_RJQ_ANT","0.1","NESTED TABLE","-"
"SCHEDULER$_SOID_PK","0.1","INDEX","-"
"STREAMS$_DEST_OBJS","0.1","TABLE","0"
"STREAMS$_PROP_P_I1","0.1","INDEX","-"
"STREAMS$_PROP_P_I2","0.1","INDEX","-"
"SYS_FBA_BARRIERSCN","0.1","TABLE","0"
"SYS_FBA_PARTITIONS","0.1","TABLE","0"
"SYS_IOT_OVER_12469","0.1","TABLE","0"
"SYS_IOT_OVER_12504","0.1","TABLE","0"
"SYS_IOT_OVER_12534","0.1","TABLE","0"
"SYS_IOT_OVER_12764","0.1","TABLE","0"
"SYS_IOT_OVER_12800","0.1","TABLE","0"
"SYS_IOT_OVER_12979","0.1","TABLE","0"
"USR_PROPERTIES_TAB","0.1","NESTED TABLE","-"
"APPLY$_DEST_OBJ_OPS","0.1","TABLE","0"
"AQ$_AQ_PROP_TABLE_L","0.1","TABLE","0"
"AQ$_AQ_PROP_TABLE_S","0.1","TABLE","1"
"AQ$_INTERNET_AGENTS","0.1","TABLE","4"
"AQ$_MSGTYPES_UNIQUE","0.1","INDEX","-"
"AQ$_SCHEDULES_CHECK","0.1","INDEX","-"
"CDC_CHANGE_COLUMNS$","0.1","TABLE","0"
"CDC_CHANGE_SOURCES$","0.1","TABLE","2"
"DAM_CLEANUP_EVENTS$","0.1","TABLE","0"
"DBMS_LOCK_ALLOCATED","0.1","TABLE","1"
"DST$AFFECTED_TABLES","0.1","TABLE","0"
"I1_CHNF$_QUERY_DEPS","0.1","INDEX","-"
"I2_CHNF$_QUERY_DEPS","0.1","INDEX","-"
"I_APPLY_SOURCE_OBJ1","0.1","INDEX","-"
"I_APPLY_SOURCE_OBJ2","0.1","INDEX","-"
"I_CDC_PROPAGATIONS$","0.1","INDEX","-"
"I_FGR$_FILE_GROUPS1","0.1","INDEX","-"
"I_LOBFRAG$_FRAGOBJ$","0.1","INDEX","-"
"I_MON_MODS_ALL$_OBJ","0.1","INDEX","-"
"I_OLAP_DESCRIPTION$","0.1","INDEX","-"
"I_OLAP_HIERARCHIES$","0.1","INDEX","-"
"I_OLAP_HIER_LEVELS$","0.1","INDEX","-"
"I_SCHEDULER_WINDOW1","0.1","INDEX","-"
"LOGMNRG_DICTIONARY$","0.1","TABLE","0"
"LOGMNRG_INDCOMPART$","0.1","TABLE","0"
"LOGMNRG_INDSUBPART$","0.1","TABLE","0"
"LOGMNRG_SUBCOLTYPE$","0.1","TABLE","0"
"LOGMNRG_TABCOMPART$","0.1","TABLE","0"
"LOGMNRG_TABSUBPART$","0.1","TABLE","0"
"LOGSTDBY$PARAMETERS","0.1","TABLE","0"
"MVIEW$_ADV_ELIGIBLE","0.1","TABLE","0"
"MVIEW$_ADV_LEVEL_PK","0.1","INDEX","-"
"MVIEW$_ADV_WORKLOAD","0.1","TABLE","0"
"OLAP_MODEL_PARENTS$","0.1","TABLE","0"
"OLAP_MULTI_OPTIONS$","0.1","TABLE","0"
"OPTSTAT_USER_PREFS$","0.1","TABLE","0"
"REPCAT$_CONFLICT_PK","0.1","INDEX","-"
"REPCAT$_KEY_COLUMNS","0.1","TABLE","0"
"REPCAT$_PRIORITY_PK","0.1","INDEX","-"
"SCHEDULER$_CHAIN_PK","0.1","INDEX","-"
"SCHEDULER$_CLASS_PK","0.1","INDEX","-"
"SCHEDULER$_EVTQ_SUB","0.1","TABLE","0"
"SCHEDULER$_FW_RS_PK","0.1","INDEX","-"
"SCHEDULER$_LWJOB_PK","0.1","INDEX","-"
"SCHEDULER$_QINFO_PK","0.1","INDEX","-"
"SCHEDULER$_SCHEDULE","0.1","TABLE","3"
"SCHEDULER$_SRCQ_MAP","0.1","TABLE","0"
"TABLE_PRIVILEGE_MAP","0.1","TABLE","26"
"UTL_RECOMP_COMPILED","0.1","TABLE","0"
"XS$SESSION_APPNS_I1","0.1","INDEX","-"
"XS$SESSION_ROLES_I1","0.1","INDEX","-"
"XSTREAM$_PARAMETERS","0.1","TABLE","0"
"APPLY$_DEST_OBJ_CMAP","0.1","TABLE","0"
"APPLY$_ERROR_HANDLER","0.1","TABLE","0"
"APPLY$_SOURCE_SCHEMA","0.1","TABLE","0"
"AQ$_AQ_EVENT_TABLE_I","0.1","INDEX","-"
"AQ$_AQ_EVENT_TABLE_T","0.1","INDEX","-"
"AQ$_PENDING_MESSAGES","0.1","TABLE","0"
"AQ$_QUEUE_STATISTICS","0.1","TABLE","0"
"AQ$_SUBSCRIBER_TABLE","0.1","TABLE","1"
"CDC_PROPAGATED_SETS$","0.1","TABLE","0"
"DAM_CONFIG_PARAM_UK1","0.1","INDEX","-"
"DAM_LAST_ARCH_TS_UK1","0.1","INDEX","-"
"FGR$_TABLESPACE_INFO","0.1","TABLE","0"
"HS_BULKLOAD_VIEW_OBJ","0.1","TABLE","0"
"I1_CHNF$_QUERY_BINDS","0.1","INDEX","-"
"I1_CHNF$_REG_QUERIES","0.1","INDEX","-"
"I2_CHNF$_REG_QUERIES","0.1","INDEX","-"
"I_CDC_CHANGE_TABLES$","0.1","INDEX","-"
"I_INDCOMPART_BOPART$","0.1","INDEX","-"
"I_OLAP_IMPL_OPTIONS$","0.1","INDEX","-"
"I_OLAP_MULTI_OPTIONS","0.1","INDEX","-"
"I_PROXY_ROLE_DATA$_1","0.1","INDEX","-"
"I_PROXY_ROLE_DATA$_2","0.1","INDEX","-"
"I_PROXY_ROLE_INFO$_1","0.1","INDEX","-"
"I_PROXY_ROLE_INFO$_2","0.1","INDEX","-"
"I_REPCAT$_SNAPGROUP1","0.1","INDEX","-"
"I_TABCOMPART_BOPART$","0.1","INDEX","-"
"I_XSTREAM_PARAMETERS","0.1","INDEX","-"
"KUPC$DATAPUMP_QUETAB","0.1","TABLE","-"
"MVIEW$_ADV_BASETABLE","0.1","TABLE","0"
"MVIEW$_ADV_CLIQUE_PK","0.1","INDEX","-"
"MVIEW$_ADV_FILTER_PK","0.1","INDEX","-"
"MVIEW$_ADV_OUTPUT_PK","0.1","INDEX","-"
"MVIEW$_ADV_ROLLUP_PK","0.1","INDEX","-"
"MVIEW$_ADV_SQLDEPEND","0.1","TABLE","0"
"OLAP_DIMENSIONALITY$","0.1","TABLE","0"
"REGISTRY_PROGRESS_PK","0.1","INDEX","-"
"REPCAT$_AUDIT_COLUMN","0.1","TABLE","0"
"REPCAT$_COLUMN_GROUP","0.1","TABLE","0"
"REPCAT$_FLAVORS_UNQ1","0.1","INDEX","-"
"REPCAT$_GENERATED_N1","0.1","INDEX","-"
"REPCAT$_OBJECT_PARMS","0.1","TABLE","0"
"REPCAT$_OBJECT_TYPES","0.1","TABLE","28"
"REPCAT$_REPCOLUMN_PK","0.1","INDEX","-"
"REPCAT$_SITES_NEW_PK","0.1","INDEX","-"
"REPCAT$_SITE_OBJECTS","0.1","TABLE","0"
"RESOURCE_CAPABILITY$","0.1","TABLE","1"
"SCHEDULER$_ATTRIB_PK","0.1","INDEX","-"
"SCHEDULER$_LWJOB_OBJ","0.1","TABLE","0"
"SCHEDULER$_SRCQ_INFO","0.1","TABLE","0"
"SCHEDULER$_WINDOW_PK","0.1","INDEX","-"
"STREAMS$_DEST_OBJS_I","0.1","INDEX","-"
"STREAMS$_EXTRA_ATTRS","0.1","TABLE","0"
"STREAMS$_KEY_COLUMNS","0.1","TABLE","0"
"STREAMS$_PREPARE_DDL","0.1","TABLE","0"
"STREAMS$_SPLIT_MERGE","0.1","TABLE","0"
"SYSTEM_PRIVILEGE_MAP","0.1","TABLE","208"
"TEMPLATE$_TARGETS_PK","0.1","INDEX","-"
"UTL_RECOMP_SORT_IDX1","0.1","INDEX","-"
"XDB_INSTALLATION_TAB","0.1","TABLE","146"
"XSTREAM$_SYSGEN_OBJS","0.1","TABLE","0"
"DEF$_CALLDEST_PRIMARY","0.1","INDEX","-"
"FGR$_FILE_GROUP_FILES","0.1","TABLE","0"
"HS$_PARALLEL_METADATA","0.1","TABLE","0"
"HS_PARTITION_COL_NAME","0.1","NESTED TABLE","-"
"HS_PARTITION_COL_TYPE","0.1","NESTED TABLE","-"
"I1_CHNF$_QUERY_OBJECT","0.1","INDEX","-"
"I2_CHNF$_QUERY_OBJECT","0.1","INDEX","-"
"I_APPLY_DEST_OBJ_OPS1","0.1","INDEX","-"
"I_CDC_CHANGE_COLUMNS$","0.1","INDEX","-"
"I_CDC_CHANGE_SOURCES$","0.1","INDEX","-"
"I_EXTERNAL_LOCATION1$","0.1","INDEX","-"
"I_OLAP_MODEL_PARENTS$","0.1","INDEX","-"
"I_STREAMS_KEY_COLUMNS","0.1","INDEX","-"
"I_STREAMS_PREPARE_DDL","0.1","INDEX","-"
"I_STREAMS_SPLIT_MERGE","0.1","INDEX","-"
"I_SUMPARTLOG$_BOPART$","0.1","INDEX","-"
"I_TABLE_PRIVILEGE_MAP","0.1","INDEX","-"
"LOGMNR_PARAMETER_INDX","0.1","INDEX","-"
"MVIEW$_ADV_EXCEPTIONS","0.1","TABLE","0"
"MVIEW$_ADV_JOURNAL_PK","0.1","INDEX","-"
"MVIEW$_ADV_PARAMETERS","0.1","TABLE","40"
"OLAP_AW_VIEW_COLUMNS$","0.1","TABLE","0"
"OLAP_CUBE_DIMENSIONS$","0.1","TABLE","0"
"OLAP_MEASURE_FOLDERS$","0.1","TABLE","0"
"OPTSTAT_HIST_CONTROL$","0.1","TABLE","18"
"PENDING_SUB_SESSIONS$","0.1","TABLE","0"
"REGISTRY$DEPENDENCIES","0.1","TABLE","2"
"REPCAT$_EXCEPTIONS_PK","0.1","INDEX","-"
"REPCAT$_FLAVORS_FNAME","0.1","INDEX","-"
"REPCAT$_FLAVORS_GNAME","0.1","INDEX","-"
"REPCAT$_RESOLUTION_PK","0.1","INDEX","-"
"REPCAT$_RUNTIME_PARMS","0.1","TABLE","0"
"SCHEDULER$_CREDENTIAL","0.1","TABLE","0"
"SCHEDULER$_EVENT_QTAB","0.1","TABLE","-"
"SCHEDULER$_JOBDEST_PK","0.1","INDEX","-"
"SCHEDULER$_JOB_ARG_PK","0.1","INDEX","-"
"SCHEDULER$_PROGRAM_PK","0.1","INDEX","-"
"SCHEDULER$_REMOTE_DBS","0.1","TABLE","0"
"SCHEDULER$_SAVED_OIDS","0.1","TABLE","1"
"STMT_AUDIT_OPTION_MAP","0.1","TABLE","270"
"SYS_FBA_TRACKEDTABLES","0.1","TABLE","1"
"WRI$_SQLSET_WORKSPACE","0.1","TABLE","0"
"XSTREAM$_SUBSET_RULES","0.1","TABLE","0"
"APPLY$_CHANGE_HANDLERS","0.1","TABLE","0"
"AQ$_PENDING_MESSAGES_I","0.1","INDEX","-"
"AQ$_PROPAGATION_STATUS","0.1","TABLE","0"
"AQ$_QUEUE_STATITICS_PK","0.1","INDEX","-"
"AQ$_SUBSCRIBER_TABLE_I","0.1","INDEX","-"
"CDC_SUBSCRIBED_TABLES$","0.1","TABLE","0"
"GOLDENGATE$_PRIVILEGES","0.1","TABLE","0"
"HS$_FDS_CLASS_DATE_UK1","0.1","INDEX","-"
"INVALIDATION_REGISTRY$","0.1","TABLE","0"
"I_APPLY_DEST_OBJ_CMAP1","0.1","INDEX","-"
"I_APPLY_SOURCE_SCHEMA1","0.1","INDEX","-"
"I_CDC_PROPAGATED_SETS$","0.1","INDEX","-"
"I_OLAP_DIMENSIONALITY$","0.1","INDEX","-"
"I_OLAP_MEASURES_INDEX$","0.1","INDEX","-"
"I_STREAMS_EXTRA_ATTRS1","0.1","INDEX","-"
"I_SYSTEM_PRIVILEGE_MAP","0.1","INDEX","-"
"I_XSTREAM_SUBSET_RULES","0.1","INDEX","-"
"I_XSTREAM_SYSGEN_OBJS1","0.1","INDEX","-"
"I_XSTREAM_SYSGEN_OBJS2","0.1","INDEX","-"
"MVIEW$_ADV_ELIGIBLE_PK","0.1","INDEX","-"
"MVIEW$_ADV_TEMP_IDX_01","0.1","INDEX","-"
"MVIEW$_ADV_WORKLOAD_PK","0.1","INDEX","-"
"REPCAT$_FLAVOR_OBJECTS","0.1","TABLE","0"
"REPCAT$_GROUPED_COLUMN","0.1","TABLE","0"
"REPCAT$_OBJECT_TYPE_PK","0.1","INDEX","-"
"REPCAT$_PRIORITY_GROUP","0.1","TABLE","0"
"REPCAT$_REPCAT_PRIMARY","0.1","INDEX","-"
"REPCAT$_REPGEN_PRIMARY","0.1","INDEX","-"
"REPCAT$_REPGROUP_PRIVS","0.1","TABLE","0"
"REPCAT$_TEMPLATE_PARMS","0.1","TABLE","0"
"REPCAT$_TEMPLATE_SITES","0.1","TABLE","0"
"REPCAT$_TEMPLATE_TYPES","0.1","TABLE","2"
"RESOURCE_IO_CALIBRATE$","0.1","TABLE","0"
"SCHEDULER$_EVTQ_SUB_PK","0.1","INDEX","-"
"SCHEDULER$_SCHEDULE_PK","0.1","INDEX","-"
"SCHEDULER$_SRCQ_MAP_PK","0.1","INDEX","-"
"STREAMS$_APPLY_PROCESS","0.1","TABLE","0"
"STREAMS$_DEST_OBJ_COLS","0.1","TABLE","0"
"STREAMS$_MESSAGE_RULES","0.1","TABLE","0"
"STREAMS$_STMT_HANDLERS","0.1","TABLE","0"
"APPLY$_VIRTUAL_OBJ_CONS","0.1","TABLE","0"
"CDC_SUBSCRIBED_COLUMNS$","0.1","TABLE","0"
"CHNF$_CLAUSE_DEPENDENTS","0.1","TABLE","0"
"DEF$_PROPAGATOR_PRIMARY","0.1","INDEX","-"
"HS_PARALLEL_METADATA_PK","0.1","INDEX","-"
"I_APPLY_CHANGE_HANDLERS","0.1","INDEX","-"
"I_FGR$_TABLESPACE_INFO1","0.1","INDEX","-"
"I_FGR$_TABLESPACE_INFO2","0.1","INDEX","-"
"I_LOBCOMPPART$_PARTOBJ$","0.1","INDEX","-"
"I_LOBCOMPPART_LOBJPART$","0.1","INDEX","-"
"I_OLAP_AW_VIEW_COLUMNS$","0.1","INDEX","-"
"I_OLAP_CUBE_DIMENSIONS$","0.1","INDEX","-"
"I_OLAP_MEASURE_FOLDERS$","0.1","INDEX","-"
"I_SQL_VERSION$_VERSION#","0.1","INDEX","-"
"I_STMT_AUDIT_OPTION_MAP","0.1","INDEX","-"
"I_STREAMS_MESSAGE_RULES","0.1","INDEX","-"
"I_STREAMS_STMT_HANDLERS","0.1","INDEX","-"
"LOGMNRG_LOGMNR_BUILDLOG","0.1","TABLE","0"
"OLAP_MODEL_ASSIGNMENTS$","0.1","TABLE","0"
"REPCAT$_AUDIT_ATTRIBUTE","0.1","TABLE","2"
"REPCAT$_AUDIT_COLUMN_PK","0.1","INDEX","-"
"REPCAT$_COLUMN_GROUP_PK","0.1","INDEX","-"
"REPCAT$_FLAVORS_FK1_IDX","0.1","INDEX","-"
"REPCAT$_OBJECT_PARMS_N2","0.1","INDEX","-"
"REPCAT$_OBJECT_PARMS_PK","0.1","INDEX","-"
"REPCAT$_PRIORITY_F1_IDX","0.1","INDEX","-"
"REPCAT$_REPCATLOG_GNAME","0.1","INDEX","-"
"REPCAT$_REPGEN_PRNT_IDX","0.1","INDEX","-"
"REPCAT$_REPOBJECT_GNAME","0.1","INDEX","-"
"REPCAT$_REPPROP_PRIMARY","0.1","INDEX","-"
"REPCAT$_RESOLUTION_IDX2","0.1","INDEX","-"
"REPCAT$_RESOL_METHOD_PK","0.1","INDEX","-"
"REPCAT$_SITE_OBJECTS_N1","0.1","INDEX","-"
"REPCAT$_SITE_OBJECTS_U1","0.1","INDEX","-"
"REPCAT$_TEMPLATE_STATUS","0.1","TABLE","3"
"RESOURCE_GROUP_MAPPING$","0.1","TABLE","5"
"SCHEDULER$_DESTINATIONS","0.1","TABLE","2"
"SCHEDULER$_FILE_WATCHER","0.1","TABLE","0"
"SCHEDULER$_JOB_ARGUMENT","0.1","TABLE","4"
"SCHEDULER$_NOTIFICATION","0.1","TABLE","0"
"SCHEDULER$_WINDOW_GROUP","0.1","TABLE","4"
"SQLPLUS_PRODUCT_PROFILE","0.1","TABLE","0"
"STREAMS$_CAPTURE_SERVER","0.1","TABLE","0"
"STREAMS$_PREPARE_OBJECT","0.1","TABLE","0"
"STREAMS$_PROCESS_PARAMS","0.1","TABLE","0"
"SYS_FK0000007778N00005$","0.1","INDEX","-"
"SYS_FK0000007786N00008$","0.1","INDEX","-"
"SYS_FK0000007808N00028$","0.1","INDEX","-"
"SYS_FK0000012483N00046$","0.1","INDEX","-"
"SYS_FK0000012517N00035$","0.1","INDEX","-"
"SYS_FK0000012719N00017$","0.1","INDEX","-"
